Rank    |    Roll        |        Preference Order
0	    |    	50	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
1	    |    	49	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
2	    |    	48	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
3	    |    	47	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
4	    |    	46	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
5	    |    	45	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
6	    |    	44	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
7	    |    	43	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
8	    |    	42	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
9	    |    	41	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
10	    |    	40	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
11	    |    	39	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
12	    |    	38	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
13	    |    	37	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
14	    |    	36	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
15	    |    	35	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
16	    |    	34	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
17	    |    	33	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
18	    |    	32	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
19	    |    	31	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
20	    |    	30	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
21	    |    	29	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
22	    |    	28	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
23	    |    	27	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
24	    |    	26	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
25	    |    	75	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
26	    |    	74	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
27	    |    	73	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
28	    |    	72	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
29	    |    	71	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
30	    |    	70	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
31	    |    	69	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
32	    |    	68	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
33	    |    	67	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
34	    |    	66	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
35	    |    	65	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
36	    |    	64	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
37	    |    	63	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
38	    |    	62	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
39	    |    	61	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
40	    |    	60	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
41	    |    	59	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
42	    |    	58	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
43	    |    	57	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
44	    |    	56	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
45	    |    	55	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
46	    |    	54	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
47	    |    	53	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
48	    |    	52	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
49	    |    	51	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
50	    |    	25	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
51	    |    	24	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
52	    |    	23	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
53	    |    	22	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
54	    |    	21	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
55	    |    	20	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
56	    |    	19	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
57	    |    	18	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
58	    |    	17	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
59	    |    	16	     |     0,	1,	2,	3,	4,	5,	6,	7,	8,	9,	
