Rank    |    Roll        |        Preference Order
0	    |    	50	     |     7,	49,	23,	8,	30,	22,	44,	28,	23,	9,	
1	    |    	49	     |     40,	15,	42,	42,	37,	3,	27,	29,	40,	12,	
2	    |    	48	     |     3,	19,	9,	7,	10,	33,	49,	28,	16,	35,	
3	    |    	47	     |     47,	26,	12,	17,	10,	33,	29,	49,	29,	21,	
4	    |    	46	     |     17,	22,	43,	36,	35,	45,	28,	41,	44,	7,	
5	    |    	45	     |     1,	3,	8,	44,	18,	40,	24,	46,	30,	3,	
6	    |    	44	     |     22,	16,	49,	24,	1,	3,	27,	8,	28,	33,	
7	    |    	43	     |     48,	31,	35,	13,	15,	14,	13,	36,	25,	19,	
8	    |    	42	     |     15,	44,	29,	1,	17,	45,	5,	4,	1,	48,	
9	    |    	41	     |     38,	23,	5,	32,	2,	16,	16,	37,	38,	44,	
10	    |    	40	     |     1,	47,	21,	28,	37,	8,	27,	47,	44,	4,	
11	    |    	39	     |     9,	31,	45,	25,	35,	48,	42,	49,	18,	12,	
12	    |    	38	     |     10,	7,	44,	8,	45,	18,	13,	30,	6,	12,	
13	    |    	37	     |     42,	15,	32,	2,	17,	21,	45,	12,	21,	1,	
14	    |    	36	     |     40,	31,	38,	7,	16,	40,	40,	29,	35,	6,	
15	    |    	35	     |     22,	48,	45,	19,	4,	23,	39,	10,	5,	26,	
16	    |    	34	     |     23,	6,	13,	20,	38,	44,	20,	44,	16,	34,	
17	    |    	33	     |     26,	44,	13,	38,	44,	40,	0,	9,	23,	47,	
18	    |    	32	     |     35,	17,	22,	39,	47,	35,	46,	35,	23,	20,	
19	    |    	31	     |     44,	18,	35,	15,	25,	34,	42,	11,	29,	2,	
20	    |    	30	     |     44,	45,	18,	46,	42,	15,	41,	33,	19,	47,	
21	    |    	29	     |     3,	47,	25,	10,	12,	11,	8,	27,	11,	25,	
22	    |    	28	     |     35,	18,	45,	26,	17,	39,	24,	31,	6,	1,	
23	    |    	27	     |     22,	10,	44,	34,	5,	39,	7,	15,	43,	19,	
24	    |    	26	     |     30,	5,	5,	6,	13,	2,	26,	8,	49,	31,	
25	    |    	75	     |     44,	38,	8,	47,	1,	49,	3,	31,	31,	14,	
26	    |    	74	     |     19,	25,	9,	30,	29,	23,	4,	10,	37,	45,	
27	    |    	73	     |     17,	25,	0,	6,	14,	47,	48,	4,	0,	0,	
28	    |    	72	     |     26,	12,	4,	47,	4,	31,	48,	15,	28,	49,	
29	    |    	71	     |     9,	29,	3,	33,	47,	7,	23,	22,	5,	26,	
30	    |    	70	     |     3,	24,	30,	16,	0,	44,	20,	35,	16,	48,	
31	    |    	69	     |     5,	33,	7,	26,	28,	16,	7,	11,	28,	14,	
32	    |    	68	     |     19,	37,	33,	41,	20,	12,	33,	47,	31,	38,	
33	    |    	67	     |     39,	23,	27,	4,	8,	0,	4,	10,	15,	47,	
34	    |    	66	     |     30,	30,	5,	46,	7,	38,	0,	26,	35,	7,	
35	    |    	65	     |     13,	14,	43,	10,	4,	18,	7,	35,	29,	15,	
36	    |    	64	     |     13,	2,	17,	43,	19,	17,	47,	19,	45,	3,	
37	    |    	63	     |     23,	3,	48,	35,	8,	9,	6,	30,	24,	32,	
38	    |    	62	     |     23,	3,	47,	20,	0,	31,	30,	3,	0,	20,	
39	    |    	61	     |     33,	8,	3,	26,	0,	34,	30,	29,	32,	24,	
40	    |    	60	     |     49,	42,	49,	21,	10,	29,	33,	20,	40,	23,	
41	    |    	59	     |     0,	21,	29,	18,	46,	49,	30,	21,	26,	24,	
42	    |    	58	     |     44,	8,	46,	21,	14,	10,	48,	1,	40,	3,	
43	    |    	57	     |     1,	1,	5,	30,	18,	24,	49,	13,	20,	25,	
44	    |    	56	     |     12,	33,	38,	17,	8,	0,	24,	45,	7,	11,	
45	    |    	55	     |     40,	16,	10,	43,	3,	15,	10,	42,	3,	2,	
46	    |    	54	     |     7,	41,	10,	0,	49,	27,	21,	37,	14,	25,	
47	    |    	53	     |     41,	17,	48,	42,	15,	24,	45,	23,	20,	11,	
48	    |    	52	     |     39,	4,	5,	29,	3,	39,	16,	6,	4,	10,	
49	    |    	51	     |     48,	42,	20,	16,	30,	17,	2,	39,	48,	1,	
50	    |    	25	     |     11,	16,	41,	21,	28,	21,	11,	45,	20,	40,	
51	    |    	24	     |     8,	3,	27,	0,	11,	13,	44,	33,	27,	27,	
52	    |    	23	     |     45,	31,	42,	16,	6,	15,	24,	1,	47,	11,	
53	    |    	22	     |     3,	24,	8,	36,	31,	15,	10,	16,	5,	23,	
54	    |    	21	     |     31,	20,	41,	19,	15,	27,	36,	28,	25,	34,	
55	    |    	20	     |     17,	49,	26,	46,	26,	16,	17,	20,	34,	41,	
56	    |    	19	     |     10,	8,	11,	44,	18,	18,	34,	25,	17,	39,	
57	    |    	18	     |     18,	14,	25,	18,	28,	29,	34,	27,	40,	4,	
58	    |    	17	     |     40,	46,	35,	33,	48,	15,	11,	2,	14,	26,	
59	    |    	16	     |     37,	25,	45,	10,	15,	42,	10,	47,	37,	49,	
60	    |    	15	     |     47,	15,	43,	29,	29,	14,	29,	1,	25,	39,	
61	    |    	14	     |     8,	33,	0,	39,	20,	17,	46,	38,	43,	38,	
62	    |    	13	     |     36,	21,	19,	46,	47,	38,	9,	37,	35,	35,	
63	    |    	12	     |     12,	34,	39,	34,	34,	17,	19,	15,	45,	26,	
64	    |    	11	     |     11,	25,	19,	31,	3,	48,	48,	39,	4,	3,	
65	    |    	10	     |     29,	15,	41,	7,	24,	15,	21,	4,	6,	0,	
66	    |    	9	     |     3,	32,	32,	41,	4,	27,	17,	0,	39,	15,	
67	    |    	8	     |     47,	22,	29,	17,	16,	48,	12,	29,	39,	8,	
68	    |    	7	     |     3,	7,	11,	2,	16,	21,	7,	46,	5,	30,	
69	    |    	6	     |     44,	5,	21,	12,	43,	27,	32,	44,	41,	48,	
70	    |    	5	     |     2,	6,	20,	3,	39,	14,	49,	16,	35,	21,	
71	    |    	4	     |     43,	2,	36,	19,	0,	10,	23,	19,	5,	43,	
72	    |    	3	     |     11,	31,	42,	16,	49,	21,	39,	20,	36,	41,	
73	    |    	2	     |     7,	33,	28,	27,	10,	33,	26,	39,	41,	34,	
74	    |    	1	     |     11,	4,	26,	41,	40,	22,	14,	40,	34,	13,	
75	    |    	0	     |     41,	27,	29,	34,	37,	20,	11,	31,	15,	2,	
76	    |    	76	     |     32,	32,	4,	9,	47,	27,	12,	10,	19,	0,	
77	    |    	77	     |     27,	41,	36,	20,	49,	12,	9,	6,	40,	2,	
78	    |    	78	     |     48,	14,	44,	18,	0,	1,	45,	21,	31,	1,	
79	    |    	79	     |     45,	11,	7,	10,	28,	5,	23,	37,	19,	46,	
80	    |    	80	     |     3,	21,	25,	18,	0,	39,	12,	4,	13,	43,	
81	    |    	81	     |     39,	0,	35,	15,	14,	44,	13,	8,	2,	42,	
82	    |    	82	     |     16,	14,	20,	10,	0,	18,	41,	47,	46,	37,	
83	    |    	83	     |     1,	34,	28,	21,	48,	25,	3,	21,	29,	43,	
84	    |    	84	     |     19,	21,	20,	14,	29,	30,	10,	30,	13,	42,	
85	    |    	85	     |     38,	32,	44,	28,	43,	25,	30,	0,	46,	47,	
86	    |    	86	     |     20,	37,	43,	33,	2,	11,	24,	0,	30,	28,	
87	    |    	87	     |     7,	23,	48,	14,	45,	12,	9,	10,	49,	18,	
88	    |    	88	     |     40,	5,	43,	5,	35,	34,	25,	21,	1,	26,	
89	    |    	89	     |     1,	9,	33,	14,	37,	29,	48,	0,	37,	35,	
90	    |    	90	     |     28,	34,	42,	15,	10,	17,	40,	7,	16,	28,	
91	    |    	91	     |     12,	13,	19,	40,	23,	28,	13,	11,	10,	40,	
92	    |    	92	     |     28,	0,	44,	7,	6,	1,	36,	31,	44,	39,	
93	    |    	93	     |     26,	34,	2,	8,	14,	4,	19,	28,	21,	20,	
94	    |    	94	     |     13,	47,	24,	43,	4,	8,	31,	2,	38,	13,	
95	    |    	95	     |     9,	19,	29,	6,	11,	37,	3,	49,	38,	44,	
96	    |    	96	     |     30,	16,	33,	24,	36,	9,	17,	34,	39,	34,	
97	    |    	97	     |     1,	49,	16,	17,	10,	39,	27,	23,	31,	45,	
98	    |    	98	     |     36,	24,	35,	31,	22,	28,	48,	20,	37,	47,	
99	    |    	99	     |     39,	46,	40,	11,	12,	13,	12,	31,	1,	30,	
