Rank	  |    Roll		  | 	College Allotted
0		  |  	50		  |  		0		
1		  |  	49		  |  		0		
2		  |  	48		  |  		0		
3		  |  	47		  |  		0		
4		  |  	46		  |  		0		
5		  |  	45		  |  		0		
6		  |  	44		  |  		0		
7		  |  	43		  |  		0		
8		  |  	42		  |  		0		
9		  |  	41		  |  		0		
10		  |  	40		  |  		1		
11		  |  	39		  |  		1		
12		  |  	38		  |  		1		
13		  |  	37		  |  		1		
14		  |  	36		  |  		1		
15		  |  	35		  |  		1		
16		  |  	34		  |  		1		
17		  |  	33		  |  		1		
18		  |  	32		  |  		1		
19		  |  	31		  |  		1		
20		  |  	30		  |  		2		
21		  |  	29		  |  		2		
22		  |  	28		  |  		2		
23		  |  	27		  |  		2		
24		  |  	26		  |  		2		
25		  |  	75		  |  		2		
26		  |  	74		  |  		2		
27		  |  	73		  |  		2		
28		  |  	72		  |  		2		
29		  |  	71		  |  		2		
30		  |  	70		  |  		3		
31		  |  	69		  |  		3		
32		  |  	68		  |  		3		
33		  |  	67		  |  		3		
34		  |  	66		  |  		3		
35		  |  	65		  |  		3		
36		  |  	64		  |  		3		
37		  |  	63		  |  		3		
38		  |  	62		  |  		3		
39		  |  	61		  |  		3		
40		  |  	60		  |  		4		
41		  |  	59		  |  		4		
42		  |  	58		  |  		4		
43		  |  	57		  |  		4		
44		  |  	56		  |  		4		
45		  |  	55		  |  		4		
46		  |  	54		  |  		4		
47		  |  	53		  |  		4		
48		  |  	52		  |  		4		
49		  |  	51		  |  		4		
50		  |  	25		  |  		5		
51		  |  	24		  |  		5		
52		  |  	23		  |  		5		
53		  |  	22		  |  		5		
54		  |  	21		  |  		5		
55		  |  	20		  |  		5		
56		  |  	19		  |  		5		
57		  |  	18		  |  		5		
58		  |  	17		  |  		5		
59		  |  	16		  |  		5		
60		  |  	15		  |  		6		
61		  |  	14		  |  		6		
62		  |  	13		  |  		6		
63		  |  	12		  |  		6		
64		  |  	11		  |  		6		
65		  |  	10		  |  		6		
66		  |  	9		  |  		6		
67		  |  	8		  |  		6		
68		  |  	7		  |  		6		
69		  |  	6		  |  		6		
70		  |  	5		  |  		7		
71		  |  	4		  |  		7		
72		  |  	3		  |  		7		
73		  |  	2		  |  		7		
74		  |  	1		  |  		7		
75		  |  	0		  |  		7		
76		  |  	76		  |  		7		
77		  |  	77		  |  		7		
78		  |  	78		  |  		7		
79		  |  	79		  |  		7		
80		  |  	80		  |  		8		
81		  |  	81		  |  		8		
82		  |  	82		  |  		8		
83		  |  	83		  |  		8		
84		  |  	84		  |  		8		
85		  |  	85		  |  		8		
86		  |  	86		  |  		8		
87		  |  	87		  |  		8		
88		  |  	88		  |  		8		
89		  |  	89		  |  		8		
90		  |  	90		  |  		9		
91		  |  	91		  |  		9		
92		  |  	92		  |  		9		
93		  |  	93		  |  		9		
94		  |  	94		  |  		9		
95		  |  	95		  |  		9		
96		  |  	96		  |  		9		
97		  |  	97		  |  		9		
98		  |  	98		  |  		9		
99		  |  	99		  |  		9		
7		  |  	97		  |  		49		
98		  |  	98		  |  		36		
99		  |  	99		  |  		39		
